"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.105","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.230","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.fab09bfeba16","annexes.a2.3_learning_outcomes|table_cell","LO5.4.04","LO5.4.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.e0102d6b505a","annexes.a2.3_learning_outcomes|table_cell","Recognise that digital competence requires regular updating for daily life, working and learning.","Erkennen dat digitale competentie regelmatig moet worden bijgewerkt voor het dagelijks leven, werk en leren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.97","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.149","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.231","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.3871dd4e85b9","annexes.a2.3_learning_outcomes|table_cell","LO5.4.05","LO5.4.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.257c0c975f13","annexes.a2.3_learning_outcomes|table_cell","Identify opportunities to improve one's digital competences.","Mogelijkheden identificeren om de eigen digitale competenties te verbeteren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.98","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.150","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.232","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e5b0cd5bef6d","annexes.a2.3_learning_outcomes|table_cell","LO5.4.06","LO5.4.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.b91c04a68675","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of staying informed about developments in digital technologies.","De voordelen erkennen van het op de hoogte blijven van ontwikkelingen in digitale technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.114","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.72","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.233","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9a10f8eb97a9","annexes.a2.3_learning_outcomes|table_cell","LO5.4.07","LO5.4.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.e8d363d4c017","annexes.a2.3_learning_outcomes|table_cell","Prioritise the identification of opportunities to learn about digital technologies.","Prioriteit geven aan het identificeren van mogelijkheden om te leren over digitale technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.115","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.73","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.234","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f3dbe82c26c9","annexes.a2.3_learning_outcomes|table_cell","LO5.4.08","LO5.4.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.d9693c53923e","annexes.a2.3_learning_outcomes|table_cell","Identify relevant learning to meet one's digital competence needs.","Relevant onderwijs identificeren om te voldoen aan de eigen digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.116","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.151","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.235","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.4c03e0920beb","annexes.a2.3_learning_outcomes|table_cell","LO5.4.09","LO5.4.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.432c4eb1c6cf","annexes.a2.3_learning_outcomes|table_cell","Accurately assess one's own digital competences and digital competence needs.","De eigen digitale competenties en digitale competentiebehoeften nauwkeurig beoordelen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.117","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.151","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.236","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.60a64142c696","annexes.a2.3_learning_outcomes|table_cell","LO5.4.10","LO5.4.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.9e0b4a359d4e","annexes.a2.3_learning_outcomes|table_cell","Participate actively in learning to meet one's digital competence needs.","Actief deelnemen aan leeractiviteiten om te voldoen aan de eigen digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.118","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.74","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.237","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.1628e29ec68f","annexes.a2.3_learning_outcomes|table_cell","LO5.4.11","LO5.4.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.64b1e08d26c1","annexes.a2.3_learning_outcomes|table_cell","Continually assess digital technological developments and their implications for one’s own and others’ digital competence needs.","Voortdurend digitale technologische ontwikkelingen en hun implicaties voor de digitale competentiebehoeften van zichzelf en anderen beoordelen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.90","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.75","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.238","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.aabc7fb7a629","annexes.a2.3_learning_outcomes|table_cell","LO5.4.12","LO5.4.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.f08d0b531668","annexes.a2.3_learning_outcomes|table_cell","Engage in ongoing self-development to meet digital competence needs.","Zich bezighouden met voortdurende zelfontwikkeling om te voldoen aan digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.91","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.76","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.239","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a3f69c89103c","annexes.a2.3_learning_outcomes|table_cell","LO5.4.13","LO5.4.13"
"doc.annexes.a2.3_learning_outcomes.table_cell.9d8fae5ef678","annexes.a2.3_learning_outcomes|table_cell","Support others to develop confidence and autonomy in digital environments.","Anderen ondersteunen bij het ontwikkelen van vertrouwen en autonomie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.92","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.152","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.240","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.fe22d95f961d","annexes.a2.3_learning_outcomes|table_cell","LO5.4.14","LO5.4.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.8b84f86b5b2d","annexes.a2.3_learning_outcomes|table_cell","Compile available digital competence learning opportunities for a particular purpose.","Beschikbare leermogelijkheden voor digitale competenties samenstellen voor een specifiek doel."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.93","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.153","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.241","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.736dd2418c4d","annexes.a2.3_learning_outcomes|table_cell","LO5.4.15","LO5.4.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.c490d8a19634","annexes.a2.3_learning_outcomes|table_cell","Engage in ongoing self-development to meet complex or specialised digital competence needs.","Zich bezighouden met voortdurende zelfontwikkeling om te voldoen aan complexe of gespecialiseerde digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.72","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.77","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.242","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b47f35c09ede","annexes.a2.3_learning_outcomes|table_cell","LO5.4.16","LO5.4.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.08c83ce15712","annexes.a2.3_learning_outcomes|table_cell","Mentor others in identifying and addressing their digital competence needs.","Anderen mentoren bij het identificeren en aanpakken van hun digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.73","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.154","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.243","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d331efbd7036","annexes.a2.3_learning_outcomes|table_cell","LO5.4.17","LO5.4.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.93b1cdd6d0a3","annexes.a2.3_learning_outcomes|table_cell","Design learning material to help others to meet complex or specialised digital competence needs.","Leermateriaal ontwerpen om anderen te helpen voldoen aan complexe of gespecialiseerde digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.74","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.155","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.244","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.paragraph.68f4f40e7d05","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0|paragraph","Development work on DigComp 3.0 took place across four phases. Many individuals supported and contributed to the work at each phase, all of whom are listed in the Acknowledgements.","Het ontwikkelingswerk voor DigComp 3.0 vond plaats in vier fasen. Vele personen hebben het werk in elke fase ondersteund en eraan bijgedragen; zij staan allen vermeld in de Dankbetuiging."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.paragraph.ab7b13956846","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping|paragraph","Initial scoping work took place during December 2023-June 2024. It consisted of a call for DigComp-related submissions and their analysis, and a scoping literature and policy review. The aims of Phase 1 were to establish an initial set of learning outcomes and to identify general directions for the DigComp 3.0 update for discussion with experts in Phase 2.","Het initiële afbakeningswerk vond plaats van december 2023 tot juni 2024. Het bestond uit een oproep tot DigComp-gerelateerde inzendingen en de analyse daarvan, en een verkennend literatuur- en beleidsonderzoek. De doelen van Fase 1 waren het vaststellen van een initiële set leerresultaten en het identificeren van algemene richtingen voor de DigComp 3.0-update voor discussie met experts in Fase 2."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.ac1867a3158b","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","The call for submissions was issued across four main channels: the DigComp Community of Practice; the Digital Skills and Jobs Platform; the Digital Education Hub; and via LinkedIn in December 2023, and the submission period closed in March 2024. The call was targeted to existing users of the DigComp framework in formal, informal and non-formal learning contexts, including assessment and certification, in a European, national, regional or local initiative. The call sought information on initiatives that provided examples of learning outcomes (or similar) developed on the basis of DigComp. In all, 50 submissions were received from 16 countries (Austria, Denmark, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, the Netherlands, Portugal, Spain and Ukraine) and three European-level organisations. The submission were reviewed against the submission criteria (covering three or more of the five competence areas; link competences to proficiency; and developed since 2018), and divided into Highly relevant (16); Quite relevant (14); Somewhat relevant (11); and Out of scope (9) categories – giving a higher relevance rating to initiatives based on DigComp 2.2 and which contained learning outcomes or equivalents.","De oproep voor inzendingen werd in december 2023 verspreid via vier hoofdkanalen: de DigComp Community of Practice; het Digital Skills and Jobs Platform; de Digital Education Hub; en via LinkedIn. De indieningstermijn sloot in maart 2024. De oproep was gericht op bestaande gebruikers van het DigComp-raamwerk in formele, informele en niet-formele leercontexten, inclusief beoordeling en certificering, binnen Europese, nationale, regionale of lokale initiatieven. De oproep zocht informatie over initiatieven die voorbeelden gaven van leerresultaten (of vergelijkbaar) ontwikkeld op basis van DigComp. In totaal werden 50 inzendingen ontvangen uit 16 landen (Oostenrijk, Denemarken, Estland, Finland, Frankrijk, Duitsland, Griekenland, Ierland, Italië, Letland, Litouwen, Luxemburg, Nederland, Portugal, Spanje en Oekraïne) en drie organisaties op Europees niveau. De inzendingen werden getoetst aan de indieningscriteria (bestrijken van drie of meer van de vijf competentiegebieden; koppelen van competenties aan bekwaamheid; en ontwikkeld sinds 2018) en ingedeeld in de categorieën: Zeer relevant (16); Behoorlijk relevant (14); Enigszins relevant (11); en Buiten beschouwing (9) – waarbij een hogere relevantiescore werd gegeven aan initiatieven gebaseerd op DigComp 2.2 die leerresultaten of equivalenten bevatten."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.07f22588bc91","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","The learning outcome statements were extracted from the 16 Highly relevant submissions (which came from nine EU countries and two European-level organisations) and formatted and merged into a single dataset, which we refer to here as the ‘learning outcomes dataset’. Where needed, submissions were translated from their source languages to English using the European Commission’s eTranslation tool. In all, 2,488 learning outcomes were extracted.","De beschrijvingen van leerresultaten werden geëxtraheerd uit de 16 'Zeer relevante' inzendingen (afkomstig uit negen EU-landen en twee organisaties op Europees niveau) en geformatteerd en samengevoegd in één dataset, die we hier de 'leerresultatendataset' noemen. Waar nodig werden inzendingen vertaald vanuit hun brontalen naar het Engels met behulp van de eTranslation-tool van de Europese Commissie. In totaal werden 2.488 leerresultaten geëxtraheerd."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.7d8060b01d9e","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","A ‘foundation’ set of 386 learning outcomes which were compiled from the 304 examples from Dimension 4 and Annexes 2 and 3 of DigComp 2.2 (Vuorikari et al., 2022a) and the 72 items from the DigComp Self-Assessment Tool (DigCompSAT) item bank (Clifford et al., 2020) was then added to the learning outcomes dataset.","Een 'basis'set van 386 leerresultaten, samengesteld uit de 304 voorbeelden van Dimensie 4 en Bijlagen 2 en 3 van DigComp 2.2 (Vuorikari et al., 2022a) en de 72 items uit de DigComp Self-Assessment Tool (DigCompSAT) itembank (Clifford et al., 2020), werd vervolgens toegevoegd aan de leerresultatendataset."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.db9db884312d","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","The content of the Quite relevant and Somewhat relevant submissions was then reviewed and checked against the learning outcomes dataset. Where a key","De inhoud van de 'Behoorlijk relevante' en 'Enigszins relevante' inzendingen werd vervolgens beoordeeld en gecontroleerd tegen de leerresultatendataset. Wanneer een kern-"
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.37fe1128d98c","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","concept or skill was not covered in the learning outcomes dataset, but relevant to include, a learning outcome was drafted to cover it. This resulted in the addition of 43 learning outcome statements to the learning outcomes dataset, which","concept of vaardigheid niet was opgenomen in de leerresultatendataset, maar wel relevant was om op te nemen, werd een leerresultaat opgesteld om dit te dekken. Dit resulteerde in de toevoeging van 43 leerresultaatbeschrijvingen aan de leerresultatendataset, die"
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.91b3ab84d43a","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","at that stage consisted of 2,917 learning outcome statements classified by competence area, competence and proficiency level.","op dat moment bestond uit 2.917 leerresultaatbeschrijvingen, geclassificeerd per competentiegebied, competentie en vaardigheidsniveau."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes.paragraph.a4b1788c538f","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.1:_digcomp_submissions_and_establishment_of_foundation_set_of_learning_outcomes|paragraph","The next step was to ensure that proficiency levels were consistently applied across the dataset. The secure AI system of the JRC (GPT@JRC), model GPT 4.0 Turbo was used to obtain an initial output, with each change recommended in the output subject to (human) review and either implemented or rejected. Then, the learning outcomes dataset was processed, competence by competence, to eliminate duplicates and to ‘smooth’ variations in writing style and granularity. The secure AI system of the JRC (GPT@JRC), model GPT 4.0 Turbo was again used to obtain a refined output which was extensively reviewed and refined by (humans at) the JRC. Following this, Knowledge, Attitude and Skill classifications were manually assigned to each learning outcome, and further checks were made for consistency across competences. This set was then subjected to a gap analysis using information from the literature and policy review, described next. The process for this work required continual multi-way iterations across competences and proficiency levels, as well as competence areas, to help ensure overall framework coherence.","De volgende stap was ervoor te zorgen dat de vaardigheidsniveaus consistent werden toegepast over de hele dataset. Het beveiligde AI-systeem van het JRC (GPT@JRC), model GPT 4.0 Turbo, werd gebruikt voor een eerste output, waarbij elke aanbevolen wijziging werd onderworpen aan een (menselijke) beoordeling en vervolgens werd geïmplementeerd of afgewezen. Daarna werd de leerresultatendataset competentie voor competentie verwerkt om duplicaten te elimineren en variaties in schrijfstijl en granulariteit 'glad te strijken'. Het beveiligde AI-systeem van het JRC (GPT@JRC), model GPT 4.0 Turbo, werd opnieuw gebruikt voor een verfijnde output die uitgebreid werd beoordeeld en verfijnd door (mensen bij) het JRC. Hierna werden de classificaties Kennis, Houding en Vaardigheid handmatig toegewezen aan elk leerresultaat, en werden verdere controles uitgevoerd op consistentie tussen competenties. Deze set werd vervolgens onderworpen aan een gap-analyse met behulp van informatie uit het literatuur- en beleidsonderzoek, die hierna wordt beschreven. Het proces voor dit werk vereiste voortdurende meerzijdige iteraties over competenties, vaardigheidsniveaus en competentiegebieden om de algehele samenhang van het raamwerk te waarborgen."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.paragraph.39ab7010e37b","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|paragraph","In parallel with the DigComp submissions, the JRC researched and compiled information via a scoping review of relevant research and policy. Sources were identified through the more traditional literature search (prioritising systematic reviews and high-quality sources) as well as through targeted reviews of the grey literature (e.g., ERASMUS+ project documentation, policy reports). The purpose of this review was not to be exhaustive but rather to obtain sufficient relevant and high-quality information to combine with the learning outcomes dataset in preparation for expert review in Phase 2.","Parallel aan de DigComp-inzendingen heeft het JRC informatie onderzocht en verzameld via een verkenning van relevant onderzoek en beleid. Bronnen werden geïdentificeerd via de meer traditionele literatuurzoekopdracht (met prioriteit voor systematische reviews en bronnen van hoge kwaliteit) en via gerichte beoordelingen van grijze literatuur (bijv. ERASMUS+ projectdocumentatie, beleidsrapporten). Het doel van dit onderzoek was niet om uitputtend te zijn, maar eerder om voldoende relevante informatie van hoge kwaliteit te verkrijgen om te combineren met de leerresultatendataset ter voorbereiding op de expertbeoordeling in Fase 2."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.paragraph.df2a29d4c856","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|paragraph","Sources were grouped into broad themes, and a gap analysis between their contents and the learning outcomes dataset was carried out. Here, ‘gap analysis’ refers to an assessment of text that was extracted from the sources in the scoping review (concepts, competences, learning outcomes,etc.). Each text extract was first assessed to see if it fit the broad, transversal nature of DigComp and thematic priorities of DigComp 3.0. If so, it was then reviewed against the learning outcomes dataset to check whether or not the concept or skill represented by each text extract was included. If not, the content was incorporated through the drafting of a new learning outcome statement. Illustrative examples of the 100 or so sources consulted in the scoping review are shown in Table A6.","Bronnen werden gegroepeerd in brede thema's, en er werd een gap-analyse uitgevoerd tussen hun inhoud en de leerresultatendataset. Hier verwijst 'gap-analyse' naar een beoordeling van tekst die is geëxtraheerd uit de bronnen in het verkennend onderzoek (concepten, competenties, leerresultaten, enz.). Elk tekstfragment werd eerst beoordeeld om te zien of het paste bij het brede, transversale karakter van DigComp en de thematische prioriteiten van DigComp 3.0. Zo ja, dan werd het getoetst aan de leerresultatendataset om te controleren of het concept of de vaardigheid uit het tekstfragment was opgenomen. Zo niet, dan werd de inhoud geïntegreerd door het opstellen van een nieuwe leerresultaatbeschrijving. Illustratieve voorbeelden van de ongeveer 100 bronnen die zijn geraadpleegd in het verkennend onderzoek, worden getoond in Tabel A6."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.paragraph.afdc9ade135c","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|paragraph","The output of Phase 1 consisted of a draft set of 565 learning outcomes, accompanied by a paper describing how they had been constructed and some initial proposals for DigComp 3.0 priorities.","De output van Fase 1 bestond uit een conceptset van 565 leerresultaten, vergezeld van een document waarin de constructie ervan werd beschreven en enkele eerste voorstellen voor DigComp 3.0-prioriteiten."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.paragraph.dbf4ec459e1e","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|paragraph","Table A6. Illustrative examples of sources consulted during the development of DigComp 3.0.","Tabel A6. Illustratieve voorbeelden van bronnen geraadpleegd tijdens de ontwikkeling van DigComp 3.0."
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.table_cell.6d3a19f4676b","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|table_cell","Authors","Auteurs"
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.table_cell.e5a7029fe3da","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|table_cell","Theme","Thema"
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.table_cell.a0f3fe44347c","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|table_cell","Description and relevance to DigComp","Beschrijving en relevantie voor DigComp"
"doc.annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set.table_cell.bc7745e3e89f","annexes.annex_3:_phases_in_the_development_of_digcomp_3.0.phase_1:_initial_scoping.phase_1.2:_literature_and_policy_review_for_gap_analysis_of_digcomp_learning_outcomes_foundation_set|table_cell","Long & Magerko (2020)","Long & Magerko (2020)"
