"location","context","source","target"
"doc.glossary_of_terms_and_definitions.table_cell.36aee4372b7b","glossary_of_terms_and_definitions|table_cell","Cambridge Dictionary: Intellectu- al property","Cambridge Dictionary: Intellectueel eigendom"
"doc.glossary_of_terms_and_definitions.table_cell.af28b4b133e8","glossary_of_terms_and_definitions|table_cell","Right to disconnect","Recht om onbereikbaar te zijn (Right to disconnect)"
"doc.glossary_of_terms_and_definitions.table_cell.e90a48f65c45","glossary_of_terms_and_definitions|table_cell","Refers to a worker’s right to be able to disengage from work and refrain from engaging in work- related digital communication, such as emails or other messages, during non-work hours. This concept has developed as a result of advances in communication technologies and their impact on people’s daily lives. While there is currently no comprehensive EU-wide framework defining this right, the European Parliament passed a resolution in 2021 calling for a Directive to support this right.","Verwijst naar het recht van een werknemer om zich los te kunnen koppelen van het werk en zich te onthouden van werkgerelateerde digitale communicatie, zoals e-mails of andere berichten, buiten werktijd. Dit concept is ontstaan als gevolg van de vooruitgang in communicatietechnologieën en de impact daarvan op het dagelijks leven van mensen. Hoewel er momenteel geen alomvattend EU-breed kader is dat dit recht definieert, heeft het Europees Parlement in 2021 een resolutie aangenomen waarin wordt opgeroepen tot een richtlijn om dit recht te ondersteunen."
"doc.glossary_of_terms_and_definitions.table_cell.aa0d6ffab6e4","glossary_of_terms_and_definitions|table_cell","Adapted from Eurofound (2023)","Aangepast op basis van Eurofound (2023)"
"doc.glossary_of_terms_and_definitions.table_cell.e41fca2db330.12","glossary_of_terms_and_definitions|table_cell","Term","Term"
"doc.glossary_of_terms_and_definitions.table_cell.a38b183a73f4.12","glossary_of_terms_and_definitions|table_cell","Explanation","Uitleg"
"doc.glossary_of_terms_and_definitions.table_cell.47e6738d3091.12","glossary_of_terms_and_definitions|table_cell","Source(s)","Bron(nen)"
"doc.glossary_of_terms_and_definitions.table_cell.1d6145897345","glossary_of_terms_and_definitions|table_cell","Robot","Robot"
"doc.glossary_of_terms_and_definitions.table_cell.72841d49fec8","glossary_of_terms_and_definitions|table_cell","A machine—especially one programmable by a computer—capable of carrying out a complex series of actions automatically. Robots can operate with varying degrees of autonomy.","Een machine – vooral een machine die door een computer programmeerbaar is – die in staat is om automatisch een complexe reeks handelingen uit te voeren. Robots kunnen met verschillende maten van autonomie werken."
"doc.glossary_of_terms_and_definitions.table_cell.d2993f57b370","glossary_of_terms_and_definitions|table_cell","Adapted from Cambridge English Dictionary and Wikipedia: Robot","Aangepast op basis van Cambridge English Dictionary en Wikipedia: Robot"
"doc.glossary_of_terms_and_definitions.table_cell.111162cd19f5","glossary_of_terms_and_definitions|table_cell","Robotics","Robotica"
"doc.glossary_of_terms_and_definitions.table_cell.9c661a0a0c11","glossary_of_terms_and_definitions|table_cell","The interdisciplinary study and practice of the design, construction, operation, and use of robots, involving aspects of computer science and engineering disciplines (such as mechanical, electrical, electronic and materials).","De interdisciplinaire studie van en praktijk rond het ontwerp, de bouw, de bediening en het gebruik van robots, waarbij aspecten van de computerwetenschappen en technische disciplines (zoals werktuigbouwkunde, elektrotechniek, elektronica en materiaalkunde) betrokken zijn."
"doc.glossary_of_terms_and_definitions.table_cell.9004c5210439","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Robot- ics","Aangepast op basis van Wikipedia: Robotica"
"doc.glossary_of_terms_and_definitions.table_cell.224910bdec40","glossary_of_terms_and_definitions|table_cell","Simple (task)","Eenvoudig (taak)"
"doc.glossary_of_terms_and_definitions.table_cell.cffb649f902e","glossary_of_terms_and_definitions|table_cell","In DigComp 3.0, the term ‘simple’ is used in reference to proficiency levels competence statements and learning outcomes. A simple task is one which is well-defined and which consists of few parts, and hence is easy to understand and complete, and is at the opposite end of a continuum which has ‘complex’ at the other end. Note that task simplicity cannot necessarily be completely described on the basis of task characteristics - the experience and perspective of an individual undertaking a task is also relevant.","In DigComp 3.0 wordt de term 'eenvoudig' gebruikt in relatie tot beheersingsniveaus, competentieverklaringen en leerresultaten. Een eenvoudige taak is een taak die welomschreven is en uit weinig onderdelen bestaat, en daardoor gemakkelijk te begrijpen en te voltooien is; deze bevindt zich aan het uiterste einde van een continuüm met 'complex' aan de andere kant. Merk op dat de eenvoud van een taak niet noodzakelijkerwijs volledig kan worden beschreven op basis van taakkenmerken – de ervaring en het perspectief van een persoon die een taak uitvoert, zijn ook relevant."
"doc.glossary_of_terms_and_definitions.table_cell.718ce89d0e2c.1","glossary_of_terms_and_definitions|table_cell","Adapted from Cambridge Dic- tionary (Complex); see also Chen et al. (2023)","Aangepast op basis van Cambridge Dictionary (Complex); zie ook Chen et al. (2023)"
"doc.glossary_of_terms_and_definitions.table_cell.84127a0fdc97","glossary_of_terms_and_definitions|table_cell","Social engineering","Social engineering"
"doc.glossary_of_terms_and_definitions.table_cell.ff21d2ef5298","glossary_of_terms_and_definitions|table_cell","The act of manipulating or deceiving individuals, especially using psychological persuasion, to gain access to systems containing data, documents, and information that the social engineer should not have access to obtain. Two common approaches are (i) phishing, which uses deceptive emails, websites, or messages to trick users into revealing sensitive information or installing malware; and (ii) baiting, which uses attractive advertisements or offers to entice the user into clicking on a link which contains malware or which seeks sensitive or personal data from the user. Social engineering techniques in digital environments are considered an increasingly pervasive and sophisticated threat to cybersecurity, particularly due to the application of AI technologies (e.g. voice cloning, personalising content, automated profiling). Consequences to individuals include identity theft and reputational damage.","Het manipuleren of misleiden van individuen, met name door middel van psychologische overreding, om toegang te krijgen tot systemen met gegevens, documenten en informatie waar de social engineer geen toegang toe zou mogen hebben. Twee veelvoorkomende benaderingen zijn (i) phishing, waarbij misleidende e-mails, websites of berichten worden gebruikt om gebruikers te verleiden gevoelige informatie prijs te geven of malware te installeren; en (ii) baiting (lokken), waarbij aantrekkelijke advertenties of aanbiedingen worden gebruikt om de gebruiker te verleiden op een link te klikken die malware bevat of die vraagt om gevoelige of persoonlijke gegevens. Social engineering-technieken in digitale omgevingen worden beschouwd als een steeds meer alomtegenwoordige en geavanceerde bedreiging voor de cyberbeveiliging, met name door de toepassing van AI-technologieën (bijv. stemklonen, personaliseren van inhoud, geautomatiseerde profilering). Gevolgen voor individuen zijn onder meer identiteitsdiefstal en reputatieschade."
"doc.glossary_of_terms_and_definitions.table_cell.ff557d811b30","glossary_of_terms_and_definitions|table_cell","Adapted from Hetro Washo (2021) and Bhardwaj (2025)","Aangepast op basis van Hetro Washo (2021) en Bhardwaj (2025)"
"doc.glossary_of_terms_and_definitions.table_cell.f09997d0c7f6","glossary_of_terms_and_definitions|table_cell","Social innovation","Sociale innovatie"
"doc.glossary_of_terms_and_definitions.table_cell.c0073d2857ea","glossary_of_terms_and_definitions|table_cell","The process of developing and deploying effective solutions to challenging and often systemic social and environmental issues in support of social progress.","Het proces van het ontwikkelen en inzetten van effectieve oplossingen voor uitdagende en vaak systemische sociale en milieuproblemen ter ondersteuning van sociale vooruitgang."
"doc.glossary_of_terms_and_definitions.table_cell.fd05f8b4c569","glossary_of_terms_and_definitions|table_cell","Mulgan et al. (2007)","Mulgan et al. (2007)"
"doc.glossary_of_terms_and_definitions.table_cell.bcba8859ed9d","glossary_of_terms_and_definitions|table_cell","Social media","Sociale media"
"doc.glossary_of_terms_and_definitions.table_cell.5c9aa21b48be","glossary_of_terms_and_definitions|table_cell","A range of digital technologies that facilitate the creation, sharing and aggregation of content (such as ideas, interests, and other forms of expression) amongst virtual communities and networks. Their common features include online platforms which enable users to create and share content and participate in social networking; user-generated content; service-specific profiles; and the connection of individual user profiles to other individuals or groups.","Een reeks digitale technologieën die de creatie, het delen en de aggregatie van inhoud (zoals ideeën, interesses en andere vormen van expressie) tussen virtuele gemeenschappen en netwerken vergemakkelijken. Hun gemeenschappelijke kenmerken omvatten online platforms die gebruikers in staat stellen inhoud te creëren en te delen en deel te nemen aan sociale netwerken; door gebruikers gegenereerde inhoud; servicespecifieke profielen; en de verbinding van individuele gebruikersprofielen met andere individuen of groepen."
"doc.glossary_of_terms_and_definitions.table_cell.fa50142df247","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Social media; see also Aichner et al. (2021)","Aangepast op basis van Wikipedia: Sociale media; zie ook Aichner et al. (2021)"
"doc.glossary_of_terms_and_definitions.table_cell.c8c4d737d87c","glossary_of_terms_and_definitions|table_cell","Social media influencer","Social media influencer"
"doc.glossary_of_terms_and_definitions.table_cell.72b3df2a1599","glossary_of_terms_and_definitions|table_cell","Online content creators who post content on social media or video-sharing platforms through which they impact society, public opinion and the personal views of their audience, often showcased through their authenticity-based relationship with their audience. Influencers often have a commercial intent and engage with commercial actors through different business models for monetisation purposes.","Online contentcreatoren die inhoud plaatsen op sociale media of platforms voor het delen van video's, waarmee zij de samenleving, de publieke opinie en de persoonlijke opvattingen van hun publiek beïnvloeden, vaak getoond door hun op authenticiteit gebaseerde relatie met hun publiek. Influencers hebben vaak een commercieel oogmerk en werken samen met commerciële actoren via verschillende bedrijfsmodellen voor het genereren van inkomsten."
"doc.glossary_of_terms_and_definitions.table_cell.da8cccb3c080","glossary_of_terms_and_definitions|table_cell","European Council conclusions on support for influencers as online content creators (2024)","Conclusies van de Europese Raad over ondersteuning van influencers als online contentcreatoren (2024)"
"doc.glossary_of_terms_and_definitions.table_cell.e41fca2db330.13","glossary_of_terms_and_definitions|table_cell","Term","Term"
"doc.glossary_of_terms_and_definitions.table_cell.a38b183a73f4.13","glossary_of_terms_and_definitions|table_cell","Explanation","Uitleg"
"doc.glossary_of_terms_and_definitions.table_cell.47e6738d3091.13","glossary_of_terms_and_definitions|table_cell","Source(s)","Bron(nen)"
"doc.glossary_of_terms_and_definitions.table_cell.c41f1c43a9a3","glossary_of_terms_and_definitions|table_cell","Software","Software"
"doc.glossary_of_terms_and_definitions.table_cell.406f11fce6d3","glossary_of_terms_and_definitions|table_cell","Computer programs that instruct the execution of a computer. Software can be categorised into operating systems (which manage hardware resources and provide services for applications) and application software (which performs specific tasks for users). Software development covers several phases (design, programming, testing, release and maintenance).","Computerprogramma's die de uitvoering van een computer aansturen. Software kan worden onderverdeeld in besturingssystemen (die hardwarebronnen beheren en diensten verlenen aan applicaties) en applicatiesoftware (die specifieke taken voor gebruikers uitvoert). Softwareontwikkeling omvat verschillende fasen (ontwerp, programmering, testen, uitgave en onderhoud)."
"doc.glossary_of_terms_and_definitions.table_cell.18bccd1a6bed","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Soft- ware","Aangepast op basis van Wikipedia: Software"
"doc.glossary_of_terms_and_definitions.table_cell.c94e83303a8f","glossary_of_terms_and_definitions|table_cell","Specialised (purpose, task)","Gespecialiseerd (doel, taak)"
"doc.glossary_of_terms_and_definitions.table_cell.a2d46ecf52f3","glossary_of_terms_and_definitions|table_cell","In DigComp 3.0, particularly in reference to proficiency levels, competence statements and learning outcomes, references are made to specialised purposes and tasks. Here, specialised means related to a particular discipline, field or area.","In DigComp 3.0 wordt, met name in relatie tot beheersingsniveaus, competentieverklaringen en leerresultaten, verwezen naar gespecialiseerde doelen en taken. Hier betekent gespecialiseerd: gerelateerd aan een bepaalde discipline, vakgebied of terrein."
"doc.glossary_of_terms_and_definitions.table_cell.6ba69487900b","glossary_of_terms_and_definitions|table_cell","Adapted from Cambridge Dic- tionary: Specialised","Aangepast op basis van Cambridge Dictionary: Specialised"
"doc.glossary_of_terms_and_definitions.table_cell.f91252f09057","glossary_of_terms_and_definitions|table_cell","Task","Taak"
"doc.glossary_of_terms_and_definitions.table_cell.772c3b5370d6","glossary_of_terms_and_definitions|table_cell","In DigComp 3.0, particularly in reference to proficiency levels, competence statements and learning outcomes, a task is a specific activity which involves the use of digital technologies that contributes to a goal, in any context – everyday life, work, or learning. Tasks can vary in size, duration and complexity and may be carried out individually or in collaboration with others.","In DigComp 3.0 is een taak, met name in relatie tot beheersingsniveaus, competentieverklaringen en leerresultaten, een specifieke activiteit waarbij digitale technologieën worden gebruikt die bijdragen aan een doel, in elke context – het dagelijks leven, werk of leren. Taken kunnen variëren in omvang, duur en complexiteit en kunnen individueel of in samenwerking met anderen worden uitgevoerd."
"doc.glossary_of_terms_and_definitions.table_cell.70b392a3fc27.5","glossary_of_terms_and_definitions|table_cell","Own elaboration.","Eigen uitwerking."
"doc.glossary_of_terms_and_definitions.table_cell.334e7255b169","glossary_of_terms_and_definitions|table_cell","Trustworthy AI","Betrouwbare AI"
"doc.glossary_of_terms_and_definitions.table_cell.ff1f76f29e10","glossary_of_terms_and_definitions|table_cell","Trustworthy AI has three components: (1) it should be lawful, ensuring compliance with all applicable laws and regulations (2) it should be ethical, demonstrating respect for, and ensure adherence to, ethical principles and values and (3) it should be robust, both from a technical and social perspective, since, even with good intentions, AI systems can cause unintentional harm. Trustworthy AI concerns not only the trustworthiness of the AI system but also comprises the trustworthiness of all processes and actors that are part of the AI system’s life cycle.","Betrouwbare AI heeft drie componenten: (1) het moet rechtmatig zijn, waarbij naleving van alle toepasselijke wet- en regelgeving wordt gewaarborgd; (2) het moet ethisch zijn, waarbij respect voor ethische principes en waarden wordt getoond en naleving daarvan wordt gegarandeerd; en (3) het moet robuust zijn, zowel vanuit technisch als sociaal perspectief, aangezien AI-systemen zelfs met goede bedoelingen onbedoelde schade kunnen veroorzaken. Betrouwbare AI betreft niet alleen de betrouwbaarheid van het AI-systeem zelf, maar omvat ook de betrouwbaarheid van alle processen en actoren die deel uitmaken van de levenscyclus van het AI-systeem."
"doc.glossary_of_terms_and_definitions.table_cell.3cd6422ff1af.6","glossary_of_terms_and_definitions|table_cell","Generative AI Outlook Report (2025)","Generative AI Outlook Report (2025)"
"doc.glossary_of_terms_and_definitions.table_cell.874879ee0a41","glossary_of_terms_and_definitions|table_cell","United Nations (UN) Global Digital Compact (GDC)","Global Digital Compact (GDC) van de Verenigde Naties (VN)"
"doc.glossary_of_terms_and_definitions.table_cell.87f8acc693a2","glossary_of_terms_and_definitions|table_cell","The first comprehensive framework for global digital governance agreed by UN Member States in 2024 which aims to foster an inclusive, open, safe and secure digital space that respects, protects and promotes human rights. The UN Office for Digital and Emerging Technologies, set up in January 2025, supports follow-up and implementation of the GDC.","Het eerste alomvattende kader voor mondiaal digitaal bestuur waarover de VN-lidstaten in 2024 overeenstemming hebben bereikt en dat tot doel heeft een inclusieve, open en veilige digitale ruimte te bevorderen die de mensenrechten respecteert, beschermt en bevordert. Het VN-kantoor voor digitale en opkomende technologieën, opgericht in januari 2025, ondersteunt de opvolging en implementatie van het GDC."
"doc.glossary_of_terms_and_definitions.table_cell.8ef97ccc4200","glossary_of_terms_and_definitions|table_cell","Adapted from the Declaration on digital rights and principles monitoring report (2025)","Aangepast op basis van de Declaration on digital rights and principles monitoring report (2025)"
"doc.glossary_of_terms_and_definitions.table_cell.a541dc9f9a66","glossary_of_terms_and_definitions|table_cell","Universal Meaningful Connectivity (UMC)","Universele Betekenisvolle Connectiviteit (UMC)"
"doc.glossary_of_terms_and_definitions.table_cell.554f89828540","glossary_of_terms_and_definitions|table_cell","The possibility for everyone to enjoy a safe, enriching, productive and affordable online experience, consisting of six interdependent dimensions: quality of the connection, availability for use, affordability, devices, skills and security.","De mogelijkheid voor iedereen om te genieten van een veilige, verrijkende, productieve en betaalbare online ervaring, bestaande uit zes onderling afhankelijke dimensies: kwaliteit van de verbinding, beschikbaarheid voor gebruik, betaalbaarheid, apparaten, vaardigheden en beveiliging."
"doc.glossary_of_terms_and_definitions.table_cell.2153f9b01dd1","glossary_of_terms_and_definitions|table_cell","ITU (2022)","ITU (2022)"
"doc.glossary_of_terms_and_definitions.table_cell.c34cbb4c4236","glossary_of_terms_and_definitions|table_cell","‘Unplugged’ activities","'Unplugged' activiteiten"
"doc.glossary_of_terms_and_definitions.table_cell.d60c64369b19","glossary_of_terms_and_definitions|table_cell","Activities that don’t involve screens or electronic devices. They can range from hobbies and exercise to social engagements that require no digital input. In DigComp 3.0, unplugged activities refer primarily to teaching and learning activities which do not require any digital input.","Activiteiten waarbij geen schermen of elektronische apparaten betrokken zijn. Ze kunnen variëren van hobby's en lichaamsbeweging tot sociale verplichtingen die geen digitale input vereisen. In DigComp 3.0 verwijzen unplugged activiteiten primair naar onderwijs- en leeractiviteiten die geen enkele digitale input vereisen."
"doc.glossary_of_terms_and_definitions.table_cell.2f55321a3d9e","glossary_of_terms_and_definitions|table_cell","Adapted from Anderson (2024)","Aangepast op basis van Anderson (2024)"
"doc.glossary_of_terms_and_definitions.table_cell.b730bcf3051b","glossary_of_terms_and_definitions|table_cell","User experience (UX) and Customer experience (CX)","Gebruikerservaring (UX) en klantervaring (CX)"
"doc.glossary_of_terms_and_definitions.table_cell.35d2d1fbaf14","glossary_of_terms_and_definitions|table_cell","UX is how a user interacts with and experiences a product, system or service. It includes a person’s perceptions of utility, ease of use, and efficiency. CX refers to the cognitive, affective, sensory, and behavioral responses of a customer during all stages of the consumption process including pre-purchase, consumption, and post-purchase. In DigComp 3.0, CX and UX relate specifically to digital contexts.","UX is de manier waarop een gebruiker een product, systeem of dienst ervaart en er interactie mee heeft. Het omvat de perceptie van een persoon van nut, gebruiksgemak en efficiëntie. CX verwijst naar de cognitieve, affectieve, zintuiglijke en gedragsmatige reacties van een klant tijdens alle fasen van het consumptieproces, inclusief vóór de aankoop, consumptie en na de aankoop. In DigComp 3.0 hebben CX en UX specifiek betrekking op een digitale context."
"doc.glossary_of_terms_and_definitions.table_cell.98ce030e9d8c","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: User experience and Wikipedia: Cus- tomer experience","Aangepast op basis van Wikipedia: User experience en Wikipedia: Customer experience"
"doc.glossary_of_terms_and_definitions.table_cell.e41fca2db330.14","glossary_of_terms_and_definitions|table_cell","Term","Term"
"doc.glossary_of_terms_and_definitions.table_cell.a38b183a73f4.14","glossary_of_terms_and_definitions|table_cell","Explanation","Uitleg"
"doc.glossary_of_terms_and_definitions.table_cell.47e6738d3091.14","glossary_of_terms_and_definitions|table_cell","Source(s)","Bron(nen)"
"doc.glossary_of_terms_and_definitions.table_cell.5fe49bfdff7b","glossary_of_terms_and_definitions|table_cell","Virtual assistant","Virtuele assistent"
"doc.glossary_of_terms_and_definitions.table_cell.586d3f1b1a42","glossary_of_terms_and_definitions|table_cell","Digital technology that can perform a range of tasks or services for a user based on user input such as commands or questions, including verbal ones. Such technologies often incorporate chatbot capabilities to streamline task execution. The interaction may be via text, graphical interface, or voice, as some virtual assistants are able to interpret human speech and respond via synthesised voices. In many cases, users use verbal commands to access information online, control home devices and media playback, and manage other basic tasks such as email, to-do lists, and calendars. Companies in various industries often incorporate some kind of virtual assistant technology into their customer service or support.","Digitale technologie die een reeks taken of diensten voor een gebruiker kan uitvoeren op basis van gebruikersinvoer zoals commando's of vragen, ook mondelinge. Dergelijke technologieën maken vaak gebruik van chatbot-mogelijkheden om de uitvoering van taken te stroomlijnen. De interactie kan plaatsvinden via tekst, een grafische interface of stem, aangezien sommige virtuele assistenten in staat zijn menselijke spraak te interpreteren en te reageren via gesynthetiseerde stemmen. In veel gevallen gebruiken gebruikers mondelinge commando's om online toegang te krijgen tot informatie, huishoudelijke apparaten en het afspelen van media te bedienen, en andere basistaken zoals e-mail, takenlijsten en agenda's te beheren. Bedrijven in verschillende sectoren integreren vaak een vorm van virtuele assistent-technologie in hun klantenservice of ondersteuning."
"doc.glossary_of_terms_and_definitions.table_cell.3e22b6b06586","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Virtual assistant","Aangepast op basis van Wikipedia: Virtual assistant"
"doc.glossary_of_terms_and_definitions.table_cell.f7a8a344e186","glossary_of_terms_and_definitions|table_cell","Virtual reality, realities (VR)","Virtuele realiteit (VR)"
"doc.glossary_of_terms_and_definitions.table_cell.3ea77ea62ab0","glossary_of_terms_and_definitions|table_cell","Typically refers to three-dimensional, immersive, fully computer-generated environments to which users access, e.g., through virtual reality headsets. Different concepts such as augmented reality (AR) and mixed reality (MR) are used to refer to various grades along the reality-virtuality continuum. It has been proposed that the term ‘extended reality’ (XR) covers all of these digital technologies.","Verwijst doorgaans naar driedimensionale, meeslepende, volledig computergegenereerde omgevingen waartoe gebruikers toegang hebben, bijv. via virtual reality-headsets. Verschillende concepten zoals augmented reality (AR) en mixed reality (MR) worden gebruikt om te verwijzen naar verschillende gradaties op het realiteit-virtualiteit continuüm. Er is voorgesteld om de term 'extended reality' (XR) te gebruiken als verzamelnaam voor al deze digitale technologieën."
"doc.glossary_of_terms_and_definitions.table_cell.5ade8197422a","glossary_of_terms_and_definitions|table_cell","Adapted from Next Generation Virtual Worlds (2023)","Aangepast op basis van Next Generation Virtual Worlds (2023)"
"doc.glossary_of_terms_and_definitions.table_cell.6182014196c6","glossary_of_terms_and_definitions|table_cell","Wellbeing (in digital environments)","Welzijn (in digitale omgevingen)"
"doc.glossary_of_terms_and_definitions.table_cell.24fd1c59f161","glossary_of_terms_and_definitions|table_cell","A state of physical, mental and social wellness in relation to an individual’s usage of and presence in digital environments. The physical aspect refers to a range of characteristics, such as sleep and rest, balance of physical and sedentary activity, posture and musculoskeletal health and eyesight. The mental aspect also refers to a range of characteristics such as presence or absence of depression, anxiety, low self-esteem or problematic usage of digital technologies affecting mental wellbeing. The social wellbeing aspect refers to a sense of involvement with individuals and communities (e.g. access to and use of social capital; social trust; social connectedness).","Een staat van fysiek, mentaal en sociaal welzijn in relatie tot het gebruik van en de aanwezigheid van een individu in digitale omgevingen. Het fysieke aspect verwijst naar een reeks kenmerken, zoals slaap en rust, balans tussen fysieke en zittende activiteiten, houding en gezondheid van het bewegingsapparaat, en gezichtsvermogen. Het mentale aspect verwijst ook naar een reeks kenmerken zoals de aanwezigheid of afwezigheid van depressie, angst, een laag zelfbeeld of problematisch gebruik van digitale technologieën dat het mentale welzijn beïnvloedt. Het aspect van sociaal welzijn verwijst naar een gevoel van betrokkenheid bij individuen en gemeenschappen (bijv. toegang tot en gebruik van sociaal kapitaal; sociaal vertrouwen; sociale verbondenheid)."
"doc.glossary_of_terms_and_definitions.table_cell.f04165df08c1.1","glossary_of_terms_and_definitions|table_cell","Adapted from DigComp 2.2 (2022)","Aangepast op basis van DigComp 2.2 (2022)"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.8eb856fc3290","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Annex 1 compares DigComp 3.0 with the previous version by providing an overview of the changes (Table A1); a detailed description of the changes in the wording of the competence areas and competences and their rationale (Table A2), and a suggested mapping of the four proficiency levels of DigComp 3.0 to the eight-level version (Table A3).","Bijlage 1 vergelijkt DigComp 3.0 met de vorige versie door een overzicht te geven van de wijzigingen (tabel A1); een gedetailleerde beschrijving van de wijzigingen in de formulering van de competentiegebieden en competenties en de bijbehorende rationale (tabel A2), en een voorgestelde koppeling van de vier beheersingsniveaus van DigComp 3.0 aan de versie met acht niveaus (tabel A3)."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.22884595a766","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Table A1. A comparison of the components of DigComp 2.2 and DigComp 3.0.","Tabel A1. Een vergelijking van de componenten van DigComp 2.2 en DigComp 3.0."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9b05b8475d43","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Component","Component"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.95e7a6226a2b","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Comparison of DigComp 2.2 and DigComp 3.3","Vergelijking van DigComp 2.2 en DigComp 3.0"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f08ea620a161","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Definition","Definitie"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.d1f1fccbd203","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","The definition of digital competence used in DigComp 2.2 continues to be used unchanged in DigComp 3.0.","De definitie van digitale competentie zoals gebruikt in DigComp 2.2 blijft onveranderd van kracht in DigComp 3.0."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.42435933a762","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence areas","Competentiegebieden"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.03ae847c9511","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Referred to as ‘Dimension 1’ in DigComp 2.2. Titles and descriptors of the competence areas have been updated in DigComp 3.0 to reflect recent digital technological changes and stakeholder and policy priorities, and edited to improve clarity and general framework consistency. The structure in DigComp 3.0 is the same as it was in DigComp 2.2. Table A2 (this Annex) provides a detailed description of changes and their rationale.","In DigComp 2.2 aangeduid als 'Dimensie 1'. De titels en descriptoren van de competentiegebieden zijn in DigComp 3.0 bijgewerkt om recente digitale technologische veranderingen en de prioriteiten van belanghebbenden en beleid te weerspiegelen, en zijn bewerkt om de duidelijkheid en de algemene consistentie van het kader te verbeteren. De structuur van DigComp 3.0 is gelijk aan die van DigComp 2.2. Tabel A2 (in deze bijlage) biedt een gedetailleerde beschrijving van de wijzigingen en de rationale daarvoor."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.1f01bd468e2b","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competences","Competenties"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.8ebf8c4ea66a","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Referred to as ‘Dimension 2’ in DigComp 2.2. The titles and descriptors of the competences have been updated in DigComp 3.0 to reflect recent digital technological changes, and stakeholder and policy priorities, and edited to improve clarity and general framework consistency. The structure in DigComp 3.0 is the same as it was in DigComp 2.2. Table A2 (this Annex) provides a detailed description of changes and their rationale.","In DigComp 2.2 aangeduid als 'Dimensie 2'. De titels en descriptoren van de competenties zijn in DigComp 3.0 bijgewerkt om recente digitale technologische veranderingen en de prioriteiten van belanghebbenden en beleid te weerspiegelen, en zijn bewerkt om de duidelijkheid en de algemene consistentie van het kader te verbeteren. De structuur van DigComp 3.0 is gelijk aan die van DigComp 2.2. Tabel A2 (in deze bijlage) biedt een gedetailleerde beschrijving van de wijzigingen en de rationale daarvoor."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.d998e9cf191a","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Proficiency levels","Beheersingsniveaus"
